ONC000001	TISSUE
ONC000002	ADRENAL_GLAND
ONC000003	ACA
ONC000004	ACC
ONC000005	PHC
ONC000006	AMPULLA_OF_VATER
ONC000007	AMPCA
ONC000008	IAMPCA
ONC000009	MAMPCA
ONC000010	PAMPCA
ONC000011	BILIARY_TRACT
ONC000012	CHOL
ONC000013	EHCH
ONC000014	IHCH
ONC000015	PHCH
ONC000016	GBC
ONC000017	BLADDER
ONC000018	BLSC
ONC000019	BLAD
ONC000020	BLCA
ONC000021	IMTB
ONC000022	URMM
ONC000023	SRCBC
ONC000024	SCB
ONC000025	SCBC
ONC000026	UTUC
ONC000027	URCA
ONC000028	UA
ONC000029	UCA
ONC000030	UAD
ONC000031	USCC
ONC000032	UCU
ONC000033	BLOOD	MYELOID
ONC000034	BPDCN
ONC000035	HIST	HDCN
ONC000036	LCH
ONC000037	ECD
ONC000038	ALL
ONC000039	LEUK
ONC000040	BALL
ONC000041	TALL
ONC000042	AMOL	AMMOL
ONC000043	AML
ONC000044	CLL
ONC000045	CML
ONC000046	CMML
ONC000047	HCL
ONC000048	LGLL	TLGL
ONC000049	MM	PCM
ONC000050	MDS
ONC000051	MPN
ONC000052	ETC
ONC000053	MYF	PMF
ONC000054	PCV
ONC000055	SM
ONC000056	BONE
ONC000057	CHBL
ONC000058	CHS
ONC000059	DDCHS
ONC000060	EMCHS
ONC000061	MCHS
ONC000062	MYCHS
ONC000063	CHDM
ONC000064	CCHDM
ONC000065	DDCHDM
ONC000066	ES
ONC000067	GCTB
ONC000068	OS
ONC000069	CHOS
ONC000070	FIOS
ONC000071	HGSOS
ONC000072	LGCOS
ONC000073	OSOS
ONC000074	PAOS
ONC000075	PEOS
ONC000076	SECOS
ONC000077	SCOS
ONC000078	TEOS
ONC000079	BOWEL
ONC000080	AGA
ONC000081	ANSC
ONC000082	ARMM
ONC000083	APAD
ONC000084	CTAAP
ONC000085	GCCAP
ONC000086	MAAP
ONC000087	SRAP
ONC000088	COADREAD
ONC000089	COAD
ONC000090	CAIS
ONC000091	MACR
ONC000092	READ
ONC000093	SRCCR
ONC000094	GINET
ONC000095	HGNEC
ONC000096	SBWDNET
ONC000097	AWDNET
ONC000098	RWDNET
ONC000099	SWDNET
ONC000100	CMC
ONC000101	SBC
ONC000102	DA
ONC000103	SIC
ONC000104	CPC
ONC000105	CPT
ONC000106	BRAIN
ONC000107	CPP
ONC000108	ACPP
ONC000109	ASTR
ONC000110	DIFG
ONC000111	AASTR
ONC000112	ODG
ONC000113	AODG
ONC000114	OAST
ONC000115	AOAST
ONC000116	DIPG
