oncotree_2025_10_03	oncotree_2026_05_21
OVT	OVT
SBL	SBL
BCC	BCC
EATL	EATL
ADRENAL_GLAND	ADRENAL_GLAND
POCA	POCA
CPC	CPC
ALUCA	ALUCA
AMLRBM15MKL1	AMLRBM15MKL1
JSCB	JSCB
CCSK	CCSK
LNET	LNET
NSCLC	NSCLC
IFS	IFS
PBL	PBL
OPHSC	OPHSC
SEBA	SEBA
BRSRCC	BRSRCC
EOV	EOV
APLPMLRARA	APLPMLRARA
TLYM	TLYM
ASTR2	ASTR2
VULVA	VULVA
OOVC	OOVC
BPT	BPT
LGESS	LGESS
CHLPTLD	CHLPTLD
MBOV	MBOV
ADNOS	ADNOS
MGUS	MGUS
PERITONEUM	PERITONEUM
PGNG	PGNG
DSRCT	DSRCT
IOPN	IOPN
SSRCC	SSRCC
PVMF	PVMF
LIHB	LIHB
ILC	ILC
ITPN	ITPN
MNGLP	MNGLP
MBLSHH	MBLSHH
HGNEE	HGNEE
IHG	IHG
ESMM	ESMM
OSACA	OSACA
LIPO	LIPO
SCOS	SCOS
CABC	CABC
MMBL	MMBL
MUP	MUP
MCBCL	MCBCL
ODYS	ODYS
READ	READ
CMML	CMML
DTE	DTE
AECA	AECA
ODG2	ODG2
PCLBCLLT	PCLBCLLT
NPTLTFH	NPTLTFH
MCS	MCS
SS	SS
PINT	PINT
RSCC	RSCC
DMBLSHH	DMBLSHH
SOC	SOC
IMT	IMT
GNG	GNG
CDRCC	CDRCC
MDSWP	MDSWP
OGBL	OGBL
MAAP	MAAP
EBVMCU	EBVMCU
TISSUE	TISSUE
MGST	MGST
ACBC	ACBC
MT	MT
COAD	COAD
BLL	BLL
HCL	HCL
EPMT	EPMT
IHM	IHM
BRCNOS	BRCNOS
OIMT	OIMT
SLCT	SLCT
GSARC	GSARC
APXA	APXA
LDD	LDD
TT	TT
BPDCN	BPDCN
MPN	MPN
UM	UM
PLBL	PLBL
PSCC	PSCC
MBLG4	MBLG4
PCSMTPLD	PCSMTPLD
MGUSIGM	MGUSIGM
SGTTL	SGTTL
