Code	Color	Name	MainType	UMLS	NCI	Tissue	Parent
CCOV	LightBlue	Clear Cell Ovarian Cancer	Ovarian Cancer	C0346164	C40076	Ovary/Fallopian Tube	OVT
OVT	LightBlue	Ovarian Epithelial Tumor	Ovarian Cancer	C0341823	C4381	Ovary/Fallopian Tube	OVARY
HGNEE	LightSkyBlue	High-Grade Neuroendocrine Carcinoma of the Esophagus	Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach			Esophagus/Stomach	GINETES
GINETES	LightSkyBlue	Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach	Esophagogastric Cancer			Esophagus/Stomach	STOMACH
HNSCUP	DarkRed	Head and Neck Squamous Cell Carcinoma of Unknown Primary	Head and Neck Cancer			Head and Neck	HNSC
HNSC	DarkRed	Head and Neck Squamous Cell Carcinoma	Head and Neck Cancer	C1168401	C34447	Head and Neck	HEAD_NECK
OSGCT	Purple	Osteoclastic Giant Cell Tumor	Pancreatic Cancer			Pancreas	UCP
UCP	Purple	Undifferentiated Carcinoma of the Pancreas	Pancreatic Cancer	C1336861	C5722	Pancreas	PANCREAS
SKAC	Black	Skin Adnexal Carcinoma	Skin Cancer, Non-Melanoma	C0206697	C3775	Skin	SKIN
SKIN	Black	Skin	Skin Cancer	C1123023	C12470	Tissue	TISSUE
UPECOMA	PeachPuff	Uterine Perivascular Epithelioid Cell Tumor	Uterine Sarcoma	C1519862	C40180	Uterus	USARC
USARC	PeachPuff	Uterine Sarcoma/Mesenchymal	Uterine Sarcoma	C0338113	C6339	Uterus	UTERUS
ETPLL	LimeGreen	Early T-Precursor Lymphoblastic Leukemia/Lymphoma	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C4329780	C130043	Hematopoietic	 TLL
TLL	LimeGreen	T-Lymphoblastic Leukemia/Lymphoma	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	CN294567	C8694	Hematopoietic	PTN
CUP	Black	Cancer of Unknown Primary	Cancer of Unknown Primary	C0220647	C3812	Other	OTHER
OTHER	Black	Other	Other Cancer	C0205394	C17649	Tissue	TISSUE
INTS	LightYellow	Intimal Sarcoma	Soft Tissue Sarcoma	C1708550	C53677	Soft Tissue	SOFT_TISSUE
SOFT_TISSUE	LightYellow	Soft Tissue	Soft Tissue Cancer	C0225317	C12471	Tissue	TISSUE
ANSC	SaddleBrown	Anal Squamous Cell Carcinoma	Anal Cancer	C1412036	C9161	Bowel	BOWEL
BOWEL	SaddleBrown	Bowel	Bowel Cancer	C0021853	C12736	Tissue	TISSUE
PGNT	Gray	Papillary Glioneuronal Tumor	Miscellaneous Neuroepithelial Tumor	C2985174	C92554	CNS/Brain	GNT
MNET	Gray	Miscellaneous Neuroepithelial Tumor	Miscellaneous Neuroepithelial Tumor	C1332889	C7172	CNS/Brain	BRAIN
PCLPD	LimeGreen	Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder, Lymphomatoid Papulosis	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C1371159		Hematopoietic	PCTLPL
MTNN	LimeGreen	Mature T-Cell and NK-Cell Neoplasms	T-Cell and NK-Cell Lymphoid Proliferations and Lymphomas	C0079772	C3466	Hematopoietic	TNLPL
LGESS	PeachPuff	Low-Grade Endometrial Stromal Sarcoma	Uterine Sarcoma	C0334486	C4263	Uterus	ESS
ESS	PeachPuff	Endometrial Stromal Sarcoma	Uterine Sarcoma	C0206630	C8973	Uterus	USARC
PSEC	Green	Peritoneal Serous Carcinoma	Peritoneal Cancer, NOS			Peritoneum	PERITONEUM
PERITONEUM	Green	Peritoneum	Peritoneal Cancer	C0031153	C12770	Tissue	TISSUE
LM	LightYellow	Leiomyoma	Soft Tissue Cancer			Soft Tissue	SOFT_TISSUE
CCBOV	LightBlue	Clear Cell Borderline Ovarian Tumor	Ovarian Cancer	C0279676	C40080	Ovary/Fallopian Tube	OVT
LMS	LightYellow	Leiomyosarcoma	Soft Tissue Sarcoma	C0023269	C3158	Soft Tissue	SOFT_TISSUE
GN	Gray	Ganglioneuroma	Peripheral Nervous System			Peripheral Nervous System	PNS
PNS	Gray	Peripheral Nervous System	Peripheral Nervous System Cancer	C0206417	C12465	Tissue	TISSUE
